# HyperSecurity_offensivelabs - ADDITIONAL SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
ADD-0001,/cgi-bin/test.cgi,GET,200,,Medium,Cgi,Test CGI,Default CGI test script.,Remove test scripts.,false
ADD-0002,/cgi-bin/printenv,GET,200,DOCUMENT_ROOT,Medium,Cgi,Printenv CGI,Environment printer CGI.,Remove debug CGIs.,false
ADD-0003,/cgi-bin/php,GET,200,<?php,Critical,Cgi,PHP CGI,PHP CGI binary.,Update PHP.,false
ADD-0004,/cgi-bin/php5,GET,200,<?php,Critical,Cgi,PHP5 CGI,PHP5 CGI binary.,Update PHP5.,false
ADD-0005,/cgi-bin/php-cgi,GET,200,<?php,Critical,Cgi,PHP-CGI,PHP-CGI binary.,Update PHP-CGI.,false
ADD-0006,/cgi-bin/perl,GET,200,perl,Critical,Cgi,Perl CGI,Perl interpreter.,Remove from CGI.,false
ADD-0007,/cgi-bin/python,GET,200,python,Critical,Cgi,Python CGI,Python interpreter.,Remove from CGI.,false
ADD-0008,/cgi-bin/bash,GET,200,bash,Critical,Cgi,Bash CGI,Bash shell.,Never allow bash in CGI.,false
ADD-0009,/cgi-bin/sh,GET,200,sh,Critical,Cgi,Shell CGI,Shell interpreter.,Never allow sh in CGI.,false
ADD-0010,/cgi-bin/test.sh,GET,200,#!/bin/sh,Critical,Cgi,Test Shell,Shell script in CGI.,Remove shell scripts.,false
ADD-0011,/cgi-bin/test.pl,GET,200,#!/usr/bin/perl,Critical,Cgi,Test Perl,Perl script in CGI.,Review Perl scripts.,false
ADD-0012,/cgi-bin/test.py,GET,200,#!/usr/bin/python,Critical,Cgi,Test Python,Python script in CGI.,Review Python scripts.,false
ADD-0013,/cgi-bin/admin.cgi,GET,200,admin,High,Cgi,Admin CGI,Admin CGI script.,Secure admin CGI.,false
ADD-0014,/cgi-bin/login.cgi,GET,200,login,High,Cgi,Login CGI,Login CGI script.,Secure login CGI.,false
ADD-0015,/cgi-bin/upload.cgi,GET,200,upload,Critical,Cgi,Upload CGI,Upload CGI script.,Validate uploads.,false
ADD-0016,/cgi-bin/formmail.cgi,GET,200,formmail,High,Cgi,FormMail CGI,FormMail script.,Update FormMail.,false
ADD-0017,/cgi-bin/awstats.pl,GET,200,awstats,Critical,Cgi,AWStats CGI,AWStats script.,Update AWStats.,false
