# HyperSecurity_offensivelabs - BACKUP & LOGS SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
BKP-0001,/backup,GET,200,backup,Critical,Backup,Backup Directory,Backup directory.,Secure backup dir.,false
BKP-0002,/backups,GET,200,backups,Critical,Backup,Backups Directory,Backups directory.,Secure backups dir.,false
BKP-0003,/bak,GET,200,bak,Critical,Backup,Bak Directory,Bak directory.,Secure bak dir.,false
BKP-0004,/backup.sql,GET,200,SQL,Critical,Backup,SQL Backup,SQL backup file.,Critical: Remove immediately.,true
BKP-0005,/backup.sql.gz,GET,200,gzip,Critical,Backup,SQL Backup GZ,SQL backup gzip.,Critical: Remove immediately.,true
BKP-0006,/backup.sql.zip,GET,200,ZIP,Critical,Backup,SQL Backup ZIP,SQL backup zip.,Critical: Remove immediately.,true
BKP-0007,/backup.tar,GET,200,tar,Critical,Backup,TAR Backup,TAR backup.,Critical: Remove immediately.,true
BKP-0008,/backup.tar.gz,GET,200,gzip,Critical,Backup,TAR GZ Backup,TAR GZ backup.,Critical: Remove immediately.,true
BKP-0009,/backup.tgz,GET,200,gzip,Critical,Backup,TGZ Backup,TGZ backup.,Critical: Remove immediately.,true
BKP-0010,/backup.zip,GET,200,ZIP,Critical,Backup,ZIP Backup,ZIP backup.,Critical: Remove immediately.,true
BKP-0011,/backup.rar,GET,200,Rar!,Critical,Backup,RAR Backup,RAR backup.,Critical: Remove immediately.,true
BKP-0012,/backup.7z,GET,200,7z,Critical,Backup,7z Backup,7z backup.,Critical: Remove immediately.,true
BKP-0013,/backup.bz2,GET,200,bz2,Critical,Backup,BZ2 Backup,BZ2 backup.,Critical: Remove immediately.,true
BKP-0014,/backup.bzip2,GET,200,bzip2,Critical,Backup,BZIP2 Backup,BZIP2 backup.,Critical: Remove immediately.,true
