# HyperSecurity_offensivelabs - KUBERNETES & CLOUD NATIVE SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
K8S-0001,/api,GET,200,versions,Critical,K8s,Kubernetes API Root,Kubernetes API server root.,Secure API server access.,false
K8S-0002,/api/v1,GET,200,v1,Critical,K8s,K8s API V1,Kubernetes API v1 endpoint.,Restrict API access.,false
K8S-0003,/apis,GET,200,apis,Critical,K8s,K8s APIs,API groups endpoint.,Secure API groups.,false
K8S-0004,/apis/apps,GET,200,apps,Critical,K8s,K8s Apps API,Apps API group.,Secure apps API.,false
K8S-0005,/apis/extensions,GET,200,extensions,Critical,K8s,K8s Extensions,Extensions API group.,Secure extensions.,false
K8S-0006,/apis/rbac.authorization.k8s.io,GET,200,rbac,Critical,K8s,K8s RBAC API,RBAC API endpoint.,Secure RBAC API.,false
K8S-0007,/api/v1/namespaces,GET,200,namespaces,Critical,K8s,K8s Namespaces,All namespaces list.,Restrict namespace access.,false
K8S-0008,/api/v1/pods,GET,200,pods,Critical,K8s,K8s Pods,All pods in cluster.,Secure pod listings.,false
K8S-0009,/api/v1/services,GET,200,services,Critical,K8s,K8s Services,All services list.,Secure services.,false
K8S-0010,/api/v1/endpoints,GET,200,endpoints,Critical,K8s,K8s Endpoints,Service endpoints.,Secure endpoints.,false
K8S-0011,/api/v1/nodes,GET,200,nodes,Critical,K8s,K8s Nodes,Cluster nodes list.,Secure node access.,false
K8S-0012,/api/v1/secrets,GET,200,secrets,Critical,K8s,K8s Secrets,All secrets exposed.,Critical: Secure secrets.,true
K8S-0013,/api/v1/configmaps,GET,200,configmaps,Critical,K8s,K8s ConfigMaps,ConfigMaps list.,Secure configmaps.,true
K8S-0014,/api/v1/serviceaccounts,GET,200,serviceaccounts,Critical,K8s,K8s ServiceAccounts,Service accounts list.,Secure SA.,false
K8S-0015,/api/v1/persistentvolumes,GET,200,persistentvolumes,Critical,K8s,K8s PVs,Persistent volumes.,Secure PV access.,false
K8S-0016,/api/v1/persistentvolumeclaims,GET,200,claims,Critical,K8s,K8s PVCs,Volume claims.,Secure PVCs.,false
K8S-0017,/api/v1/events,GET,200,events,Critical,K8s,K8s Events,Cluster events log.,Secure events API.,false
K8S-0018,/api/v1/componentstatuses,GET,200,componentstatuses,High,K8s,K8s Component Status,Component health status.,Secure status API.,false
K8S-0019,/apis/apps/v1/deployments,GET,200,deployments,Critical,K8s,K8s Deployments,All deployments.,Secure deployments.,false
K8S-0020,/apis/apps/v1/daemonsets,GET,200,daemonsets,Critical,K8s,K8s DaemonSets,DaemonSets list.,Secure daemonsets.,false
K8S-0021,/apis/apps/v1/replicasets,GET,200,replicasets,Critical,K8s,K8s ReplicaSets,ReplicaSets list.,Secure replicasets.,false
K8S-0022,/apis/apps/v1/statefulsets,GET,200,statefulsets,Critical,K8s,K8s StatefulSets,StatefulSets list.,Secure statefulsets.,false
K8S-0023,/apis/batch/v1/jobs,GET,200,jobs,Critical,K8s,K8s Jobs,Jobs list.,Secure jobs API.,false
K8S-0024,/apis/batch/v1/cronjobs,GET,200,cronjobs,Critical,K8s,K8s CronJobs,CronJobs list.,Secure cronjobs.,false
K8S-0025,/apis/networking.k8s.io/v1/ingresses,GET,200,ingresses,Critical,K8s,K8s Ingresses,Ingress resources.,Secure ingresses.,false
K8S-0026,/apis/networking.k8s.io/v1/networkpolicies,GET,200,networkpolicies,Critical,K8s,K8s NetworkPolicies,Network policies.,Secure policies.,false
K8S-0027,/apis/rbac.authorization.k8s.io/v1/roles,GET,200,roles,Critical,K8s,K8s Roles,RBAC roles list.,Secure RBAC.,false
K8S-0028,/apis/rbac.authorization.k8s.io/v1/clusterroles,GET,200,clusterroles,Critical,K8s,K8s ClusterRoles,Cluster roles list.,Secure cluster roles.,false
K8S-0029,/apis/rbac.authorization.k8s.io/v1/rolebindings,GET,200,rolebindings,Critical,K8s,K8s RoleBindings,Role bindings.,Secure bindings.,false
K8S-0030,/apis/rbac.authorization.k8s.io/v1/clusterrolebindings,GET,200,clusterrolebindings,Critical,K8s,K8s ClusterRoleBindings,Cluster role bindings.,Secure CRB.,false
K8S-0031,/api/v1/namespaces/kube-system,GET,200,kube-system,Critical,K8s,K8s kube-system,Kube-system namespace.,Secure system namespace.,false
K8S-0032,/api/v1/namespaces/default,GET,200,default,Critical,K8s,K8s Default NS,Default namespace.,Secure default NS.,false
K8S-0033,/api/v1/namespaces/kube-public,GET,200,kube-public,Critical,K8s,K8s kube-public,Kube-public namespace.,Secure public NS.,false
K8S-0034,/api/v1/namespaces/kube-node-lease,GET,200,kube-node-lease,Critical,K8s,K8s Node Lease,Node lease namespace.,Secure node lease.,false
K8S-0035,/apis/policy/v1/poddisruptionbudgets,GET,200,poddisruptionbudgets,High,K8s,K8s PDBs,Pod disruption budgets.,Secure PDBs.,false
K8S-0036,/apis/storage.k8s.io/v1/storageclasses,GET,200,storageclasses,Critical,K8s,K8s StorageClasses,Storage classes.,Secure storage.,false
K8S-0037,/apis/autoscaling/v2/horizontalpodautoscalers,GET,200,hpa,Critical,K8s,K8s HPA,Horizontal pod autoscalers.,Secure HPA.,false
K8S-0038,/api/v1/nodes/proxy,GET,200,proxy,Critical,K8s,K8s Node Proxy,Node proxy access.,Disable node proxy.,false
K8S-0039,/api/v1/pods/proxy,GET,200,proxy,Critical,K8s,K8s Pod Proxy,Pod proxy access.,Restrict pod proxy.,false
K8S-0040,/api/v1/services/proxy,GET,200,proxy,Critical,K8s,K8s Service Proxy,Service proxy access.,Secure service proxy.,false
K8S-0041,/api/v1/namespaces/default/pods,GET,200,pods,Critical,K8s,K8s Default Pods,Default namespace pods.,Secure default pods.,false
