# HyperSecurity_offensivelabs - CONFIG & SECRETS SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
CFG-0001,/.env,GET,200,SECRET,Critical,Config,ENV File,Environment variables file.,Critical: Remove immediately.,true
CFG-0002,/.env.local,GET,200,SECRET,Critical,Config,ENV Local,Local environment file.,Critical: Remove immediately.,true
CFG-0003,/.env.production,GET,200,SECRET,Critical,Config,ENV Production,Production environment file.,Critical: Remove immediately.,true
CFG-0004,/.env.development,GET,200,SECRET,Critical,Config,ENV Development,Development environment file.,Critical: Remove immediately.,true
CFG-0005,/.env.test,GET,200,SECRET,Critical,Config,ENV Test,Test environment file.,Critical: Remove immediately.,true
CFG-0006,/.env.staging,GET,200,SECRET,Critical,Config,ENV Staging,Staging environment file.,Critical: Remove immediately.,true
CFG-0007,/.env.backup,GET,200,SECRET,Critical,Config,ENV Backup,Backup environment file.,Critical: Remove immediately.,true
CFG-0008,/.env.example,GET,200,SECRET,Critical,Config,ENV Example,Example environment file.,Remove from production.,true
CFG-0009,/.env.sample,GET,200,SECRET,Critical,Config,ENV Sample,Sample environment file.,Remove from production.,true
CFG-0010,/.env.dist,GET,200,SECRET,Critical,Config,ENV Dist,Distribution environment file.,Remove from production.,true
CFG-0011,/.env.template,GET,200,SECRET,Critical,Config,ENV Template,Template environment file.,Remove from production.,true
CFG-0012,/env,GET,200,SECRET,Critical,Config,ENV No Dot,Environment file without dot.,Critical: Remove immediately.,true
CFG-0013,/env.txt,GET,200,SECRET,Critical,Config,ENV TXT,Environment text file.,Critical: Remove immediately.,true
CFG-0014,/environment,GET,200,SECRET,Critical,Config,Environment File,Full environment file.,Critical: Remove immediately.,true
CFG-0015,/environment.txt,GET,200,SECRET,Critical,Config,Environment TXT,Environment text file.,Critical: Remove immediately.,true
CFG-0016,/config.env,GET,200,SECRET,Critical,Config,Config ENV,Config environment file.,Critical: Remove immediately.,true
CFG-0017,/settings.env,GET,200,SECRET,Critical,Config,Settings ENV,Settings environment file.,Critical: Remove immediately.,true
CFG-0018,/app.env,GET,200,SECRET,Critical,Config,App ENV,App environment file.,Critical: Remove immediately.,true
CFG-0019,/application.env,GET,200,SECRET,Critical,Config,Application ENV,Application environment file.,Critical: Remove immediately.,true
CFG-0020,/local.env,GET,200,SECRET,Critical,Config,Local ENV,Local environment file.,Critical: Remove immediately.,true
CFG-0021,/development.env,GET,200,SECRET,Critical,Config,Development ENV,Development env file.,Critical: Remove immediately.,true
CFG-0022,/production.env,GET,200,SECRET,Critical,Config,Production ENV,Production env file.,Critical: Remove immediately.,true
CFG-0023,/staging.env,GET,200,SECRET,Critical,Config,Staging ENV,Staging env file.,Critical: Remove immediately.,true
CFG-0024,/test.env,GET,200,SECRET,Critical,Config,Test ENV,Test env file.,Critical: Remove immediately.,true
CFG-0025,/secrets.env,GET,200,SECRET,Critical,Config,Secrets ENV,Secrets env file.,Critical: Remove immediately.,true
CFG-0026,/credentials.env,GET,200,SECRET,Critical,Config,Credentials ENV,Credentials env file.,Critical: Remove immediately.,true
CFG-0027,/tokens.env,GET,200,SECRET,Critical,Config,Tokens ENV,Tokens env file.,Critical: Remove immediately.,true
CFG-0028,/keys.env,GET,200,SECRET,Critical,Config,Keys ENV,Keys env file.,Critical: Remove immediately.,true
CFG-0029,/passwords.env,GET,200,PASSWORD,Critical,Config,Passwords ENV,Passwords env file.,Critical: Remove immediately.,true
CFG-0030,/api.env,GET,200,SECRET,Critical,Config,API ENV,API env file.,Critical: Remove immediately.,true
CFG-0031,/db.env,GET,200,SECRET,Critical,Config,DB ENV,Database env file.,Critical: Remove immediately.,true
CFG-0032,/database.env,GET,200,SECRET,Critical,Config,Database ENV,Database env file.,Critical: Remove immediately.,true
CFG-0033,/mysql.env,GET,200,SECRET,Critical,Config,MySQL ENV,MySQL env file.,Critical: Remove immediately.,true
CFG-0034,/postgres.env,GET,200,SECRET,Critical,Config,Postgres ENV,PostgreSQL env file.,Critical: Remove immediately.,true
CFG-0035,/mongo.env,GET,200,SECRET,Critical,Config,Mongo ENV,MongoDB env file.,Critical: Remove immediately.,true
CFG-0036,/redis.env,GET,200,SECRET,Critical,Config,Redis ENV,Redis env file.,Critical: Remove immediately.,true
CFG-0037,/mail.env,GET,200,SECRET,Critical,Config,Mail ENV,Mail env file.,Critical: Remove immediately.,true
CFG-0038,/smtp.env,GET,200,SECRET,Critical,Config,SMTP ENV,SMTP env file.,Critical: Remove immediately.,true
CFG-0039,/email.env,GET,200,SECRET,Critical,Config,Email ENV,Email env file.,Critical: Remove immediately.,true
CFG-0040,/oauth.env,GET,200,SECRET,Critical,Config,OAuth ENV,OAuth env file.,Critical: Remove immediately.,true
CFG-0041,/auth.env,GET,200,SECRET,Critical,Config,Auth ENV,Auth env file.,Critical: Remove immediately.,true
CFG-0042,/session.env,GET,200,SECRET,Critical,Config,Session ENV,Session env file.,Critical: Remove immediately.,true
CFG-0043,/jwt.env,GET,200,SECRET,Critical,Config,JWT ENV,JWT env file.,Critical: Remove immediately.,true
CFG-0044,/ssl.env,GET,200,SECRET,Critical,Config,SSL ENV,SSL env file.,Critical: Remove immediately.,true
CFG-0045,/tls.env,GET,200,SECRET,Critical,Config,TLS ENV,TLS env file.,Critical: Remove immediately.,true
CFG-0046,/cert.env,GET,200,SECRET,Critical,Config,Cert ENV,Certificate env file.,Critical: Remove immediately.,true
CFG-0047,/webhook.env,GET,200,SECRET,Critical,Config,Webhook ENV,Webhook env file.,Critical: Remove immediately.,true
CFG-0048,/payment.env,GET,200,SECRET,Critical,Config,Payment ENV,Payment env file.,Critical: Remove immediately.,true
CFG-0049,/stripe.env,GET,200,SECRET,Critical,Config,Stripe ENV,Stripe env file.,Critical: Remove immediately.,true
CFG-0050,/paypal.env,GET,200,SECRET,Critical,Config,PayPal ENV,PayPal env file.,Critical: Remove immediately.,true
CFG-0051,/aws.env,GET,200,SECRET,Critical,Config,AWS ENV,AWS env file.,Critical: Remove immediately.,true
CFG-0052,/gcp.env,GET,200,SECRET,Critical,Config,GCP ENV,GCP env file.,Critical: Remove immediately.,true
CFG-0053,/azure.env,GET,200,SECRET,Critical,Config,Azure ENV,Azure env file.,Critical: Remove immediately.,true
CFG-0054,/firebase.env,GET,200,SECRET,Critical,Config,Firebase ENV,Firebase env file.,Critical: Remove immediately.,true
CFG-0055,/heroku.env,GET,200,SECRET,Critical,Config,Heroku ENV,Heroku env file.,Critical: Remove immediately.,true
CFG-0056,/docker.env,GET,200,SECRET,Critical,Config,Docker ENV,Docker env file.,Critical: Remove immediately.,true
CFG-0057,/kubernetes.env,GET,200,SECRET,Critical,Config,K8s ENV,Kubernetes env file.,Critical: Remove immediately.,true
CFG-0058,/github.env,GET,200,SECRET,Critical,Config,GitHub ENV,GitHub env file.,Critical: Remove immediately.,true
CFG-0059,/gitlab.env,GET,200,SECRET,Critical,Config,GitLab ENV,GitLab env file.,Critical: Remove immediately.,true
CFG-0060,/bitbucket.env,GET,200,SECRET,Critical,Config,Bitbucket ENV,Bitbucket env file.,Critical: Remove immediately.,true
CFG-0061,/s3.env,GET,200,SECRET,Critical,Config,S3 ENV,S3 env file.,Critical: Remove immediately.,true
CFG-0062,/s3-credentials.env,GET,200,SECRET,Critical,Config,S3 Creds ENV,S3 credentials env file.,Critical: Remove immediately.,true
CFG-0063,/rds.env,GET,200,SECRET,Critical,Config,RDS ENV,RDS env file.,Critical: Remove immediately.,true
CFG-0064,/ec2.env,GET,200,SECRET,Critical,Config,EC2 ENV,EC2 env file.,Critical: Remove immediately.,true
CFG-0065,/ecs.env,GET,200,SECRET,Critical,Config,ECS ENV,ECS env file.,Critical: Remove immediately.,true
CFG-0066,/lambda.env,GET,200,SECRET,Critical,Config,Lambda ENV,Lambda env file.,Critical: Remove immediately.,true
CFG-0067,/sns.env,GET,200,SECRET,Critical,Config,SNS ENV,SNS env file.,Critical: Remove immediately.,true
CFG-0068,/sqs.env,GET,200,SECRET,Critical,Config,SQS ENV,SQS env file.,Critical: Remove immediately.,true
CFG-0069,/ses.env,GET,200,SECRET,Critical,Config,SES ENV,SES env file.,Critical: Remove immediately.,true
CFG-0070,/cloudfront.env,GET,200,SECRET,Critical,Config,CloudFront ENV,CloudFront env file.,Critical: Remove immediately.,true
CFG-0071,/route53.env,GET,200,SECRET,Critical,Config,Route53 ENV,Route53 env file.,Critical: Remove immediately.,true
CFG-0072,/elasticache.env,GET,200,SECRET,Critical,Config,ElastiCache ENV,ElastiCache env file.,Critical: Remove immediately.,true
CFG-0073,/dynamodb.env,GET,200,SECRET,Critical,Config,DynamoDB ENV,DynamoDB env file.,Critical: Remove immediately.,true
CFG-0074,/mongodb.env,GET,200,SECRET,Critical,Config,MongoDB ENV,MongoDB env file.,Critical: Remove immediately.,true
CFG-0075,/elastic.env,GET,200,SECRET,Critical,Config,Elastic ENV,Elasticsearch env file.,Critical: Remove immediately.,true
CFG-0076,/cloudwatch.env,GET,200,SECRET,Critical,Config,CloudWatch ENV,CloudWatch env file.,Critical: Remove immediately.,true
CFG-0077,/kms.env,GET,200,SECRET,Critical,Config,KMS ENV,KMS env file.,Critical: Remove immediately.,true
CFG-0078,/secretsmanager.env,GET,200,SECRET,Critical,Config,Secrets Manager ENV,Secrets Manager env file.,Critical: Remove immediately.,true
CFG-0079,/parameterstore.env,GET,200,SECRET,Critical,Config,Parameter Store ENV,Parameter Store env file.,Critical: Remove immediately.,true
CFG-0080,/ssm.env,GET,200,SECRET,Critical,Config,SSM ENV,SSM env file.,Critical: Remove immediately.,true
CFG-0081,/ssm-parameters.env,GET,200,SECRET,Critical,Config,SSM Params ENV,SSM parameters env file.,Critical: Remove immediately.,true
CFG-0082,/vault.env,GET,200,SECRET,Critical,Config,Vault ENV,Vault env file.,Critical: Remove immediately.,true
CFG-0083,/consul.env,GET,200,SECRET,Critical,Config,Consul ENV,Consul env file.,Critical: Remove immediately.,true
CFG-0084,/etcd.env,GET,200,SECRET,Critical,Config,Etcd ENV,Etcd env file.,Critical: Remove immediately.,true
CFG-0085,/zookeeper.env,GET,200,SECRET,Critical,Config,Zookeeper ENV,Zookeeper env file.,Critical: Remove immediately.,true
CFG-0086,/kafka.env,GET,200,SECRET,Critical,Config,Kafka ENV,Kafka env file.,Critical: Remove immediately.,true
CFG-0087,/rabbitmq.env,GET,200,SECRET,Critical,Config,RabbitMQ ENV,RabbitMQ env file.,Critical: Remove immediately.,true
CFG-0088,/activemq.env,GET,200,SECRET,Critical,Config,ActiveMQ ENV,ActiveMQ env file.,Critical: Remove immediately.,true
CFG-0089,/solr.env,GET,200,SECRET,Critical,Config,Solr ENV,Solr env file.,Critical: Remove immediately.,true
CFG-0090,/spark.env,GET,200,SECRET,Critical,Config,Spark ENV,Spark env file.,Critical: Remove immediately.,true
CFG-0091,/hadoop.env,GET,200,SECRET,Critical,Config,Hadoop ENV,Hadoop env file.,Critical: Remove immediately.,true
CFG-0092,/hive.env,GET,200,SECRET,Critical,Config,Hive ENV,Hive env file.,Critical: Remove immediately.,true
CFG-0093,/presto.env,GET,200,SECRET,Critical,Config,Presto ENV,Presto env file.,Critical: Remove immediately.,true
CFG-0094,/airflow.env,GET,200,SECRET,Critical,Config,Airflow ENV,Airflow env file.,Critical: Remove immediately.,true
CFG-0095,/prefect.env,GET,200,SECRET,Critical,Config,Prefect ENV,Prefect env file.,Critical: Remove immediately.,true
CFG-0096,/dagster.env,GET,200,SECRET,Critical,Config,Dagster ENV,Dagster env file.,Critical: Remove immediately.,true
CFG-0097,/nifi.env,GET,200,SECRET,Critical,Config,NiFi ENV,NiFi env file.,Critical: Remove immediately.,true
CFG-0098,/camunda.env,GET,200,SECRET,Critical,Config,Camunda ENV,Camunda env file.,Critical: Remove immediately.,true
CFG-0099,/activiti.env,GET,200,SECRET,Critical,Config,Activiti ENV,Activiti env file.,Critical: Remove immediately.,true
CFG-0100,/jbpm.env,GET,200,SECRET,Critical,Config,jBPM ENV,jBPM env file.,Critical: Remove immediately.,true
