# HyperSecurity_offensivelabs - DATABASES & INFRASTRUCTURE SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
DBI-0001,/phpmyadmin,GET,200,phpMyAdmin,Critical,Databases,phpMyAdmin,MySQL management tool.,Secure or remove PMA.,false
DBI-0002,/phpMyAdmin,GET,200,phpMyAdmin,Critical,Databases,phpMyAdmin Alt,Alternative PMA path.,Remove PMA.,false
DBI-0003,/pma,GET,200,phpMyAdmin,Critical,Databases,PMA Shortcut,PMA shortcut path.,Remove PMA.,false
DBI-0004,/myadmin,GET,200,phpMyAdmin,Critical,Databases,MyAdmin,MyAdmin path.,Remove PMA.,false
DBI-0005,/mysqladmin,GET,200,MySQL,Critical,Databases,MySQL Admin,MySQL admin tool.,Secure admin tool.,false
DBI-0006,/mysql-admin,GET,200,MySQL,Critical,Databases,MySQL Admin Alt,MySQL admin alternate.,Secure admin.,false
DBI-0007,/adminer,GET,200,Adminer,Critical,Databases,Adminer,Database management tool.,Secure Adminer.,false
DBI-0008,/adminer.php,GET,200,Adminer,Critical,Databases,Adminer PHP,Adminer PHP file.,Remove Adminer.,false
DBI-0009,/dbadmin,GET,200,dbadmin,Critical,Databases,DB Admin,Database admin panel.,Secure DB admin.,false
DBI-0010,/databaseadmin,GET,200,database,Critical,Databases,Database Admin,Database admin interface.,Secure interface.,false
DBI-0011,/pgadmin,GET,200,pgAdmin,Critical,Databases,pgAdmin,PostgreSQL admin tool.,Secure pgAdmin.,false
DBI-0012,/pgadmin4,GET,200,pgAdmin,Critical,Databases,pgAdmin4,pgAdmin4 interface.,Secure pgAdmin4.,false
DBI-0013,/phppgadmin,GET,200,phpPgAdmin,Critical,Databases,phpPgAdmin,PostgreSQL web admin.,Secure or remove.,false
DBI-0014,/mongo-express,GET,200,Mongo Express,Critical,Databases,Mongo Express,MongoDB web admin.,Remove immediately.,false
DBI-0015,/mongodb,GET,200,MongoDB,Critical,Databases,MongoDB Interface,MongoDB web interface.,Secure MongoDB.,false
