# HyperSecurity_offensivelabs - MESSAGING & QUEUES SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
MSG-0001,/kafka,GET,200,kafka,Critical,Messaging,Kafka Interface,Kafka management UI.,Secure Kafka.,false
MSG-0002,/kafka-manager,GET,200,kafka-manager,Critical,Messaging,Kafka Manager,Kafka manager tool.,Secure manager.,false
MSG-0003,/kafka-connect,GET,200,connect,Critical,Messaging,Kafka Connect,Kafka connect UI.,Secure connect.,false
MSG-0004,/kafka-ui,GET,200,kafka-ui,Critical,Messaging,Kafka UI,Kafka web UI.,Secure Kafka UI.,false
MSG-0005,/akhq,GET,200,AKHQ,Critical,Messaging,AKHQ,Kafka UI tool.,Secure AKHQ.,false
MSG-0006,/kafdrop,GET,200,kafdrop,Critical,Messaging,Kafdrop,Kafka drop UI.,Secure Kafdrop.,false
MSG-0007,/activemq,GET,200,ActiveMQ,Critical,Messaging,ActiveMQ,ActiveMQ console.,Secure ActiveMQ.,false
MSG-0008,/activemq/admin,GET,200,admin,Critical,Messaging,ActiveMQ Admin,ActiveMQ admin.,Secure admin.,false
MSG-0009,/admin,GET,200,ActiveMQ,Critical,Messaging,ActiveMQ Root,ActiveMQ root admin.,Secure admin.,false
MSG-0010,/api/jolokia,GET,200,jolokia,Critical,Messaging,ActiveMQ Jolokia,JMX HTTP bridge.,Secure Jolokia.,false
MSG-0011,/queue/browse,GET,200,browse,Critical,Messaging,Queue Browse,Queue browser.,Secure browse.,false
MSG-0012,/topics,GET,200,topics,Critical,Messaging,Topics List,ActiveMQ topics.,Secure topics.,false
MSG-0013,/queues,GET,200,queues,Critical,Messaging,Queues List,ActiveMQ queues.,Secure queues.,false
MSG-0014,/consumers,GET,200,consumers,Critical,Messaging,Consumers List,ActiveMQ consumers.,Secure consumers.,false
MSG-0015,/producers,GET,200,producers,Critical,Messaging,Producers List,ActiveMQ producers.,Secure producers.,false
MSG-0016,/hawtio,GET,200,hawtio,Critical,Messaging,Hawtio,JMX console.,Remove hawtio.,false
MSG-0017,/artemis,GET,200,artemis,Critical,Messaging,Artemis,Apache Artemis.,Secure Artemis.,false
MSG-0018,/console,GET,200,artemis,Critical,Messaging,Artemis Console,Artemis console.,Secure console.,false
MSG-0019,/mqtt,GET,200,mqtt,Critical,Messaging,MQTT,MQTT broker interface.,Secure MQTT.,false
MSG-0020,/mosquitto,GET,200,mosquitto,Critical,Messaging,Mosquitto,Mosquitto broker.,Secure Mosquitto.,false
MSG-0021,/emqx,GET,200,EMQX,Critical,Messaging,EMQX,EMQX broker.,Secure EMQX.,false
MSG-0022,/emqx/dashboard,GET,200,dashboard,Critical,Messaging,EMQX Dashboard,EMQX dashboard.,Secure dashboard.,false
MSG-0023,/vernemq,GET,200,vernemq,Critical,Messaging,VerneMQ,VerneMQ broker.,Secure VerneMQ.,false
MSG-0024,/hivemq,GET,200,hivemq,Critical,Messaging,HiveMQ,HiveMQ broker.,Secure HiveMQ.,false
MSG-0025,/nats,GET,200,nats,Critical,Messaging,NATS,NATS monitoring.,Secure NATS.,false
MSG-0026,/nats/monitoring,GET,200,monitoring,Critical,Messaging,NATS Monitoring,NATS monitoring UI.,Secure monitoring.,false
MSG-0027,/nats/streaming,GET,200,streaming,Critical,Messaging,NATS Streaming,NATS streaming.,Secure streaming.,false
MSG-0028,/nsq,GET,200,nsq,Critical,Messaging,NSQ,NSQ admin.,Secure NSQ.,false
MSG-0029,/nsq/admin,GET,200,admin,Critical,Messaging,NSQ Admin,NSQ admin UI.,Secure admin.,false
MSG-0030,/nsq/nodes,GET,200,nodes,Critical,Messaging,NSQ Nodes,NSQ nodes.,Secure nodes.,false
MSG-0031,/nsq/topics,GET,200,topics,Critical,Messaging,NSQ Topics,NSQ topics.,Secure topics.,false
MSG-0032,/nsq/channels,GET,200,channels,Critical,Messaging,NSQ Channels,NSQ channels.,Secure channels.,false
MSG-0033,/zeromq,GET,200,zeromq,Critical,Messaging,ZeroMQ,ZeroMQ interface.,Secure ZeroMQ.,false
MSG-0034,/socket.io,GET,200,socket.io,Critical,Messaging,Socket.IO,Socket.IO interface.,Secure Socket.IO.,false
MSG-0035,/ws,GET,101,websocket,Critical,Messaging,WebSocket,WebSocket endpoint.,Secure WebSocket.,false
MSG-0036,/websocket,GET,101,websocket,Critical,Messaging,WebSocket Alt,WebSocket alternate.,Secure WebSocket.,false
MSG-0037,/ws/v1,GET,101,websocket,Critical,Messaging,WebSocket V1,WebSocket v1.,Secure WebSocket.,false
MSG-0038,/socket,GET,101,socket,Critical,Messaging,Socket,Socket connection.,Secure socket.,false
MSG-0039,/pusher,GET,200,pusher,Critical,Messaging,Pusher,Pusher interface.,Secure Pusher.,false
MSG-0040,/ably,GET,200,ably,Critical,Messaging,Ably,Ably realtime.,Secure Ably.,false
MSG-0041,/pubnub,GET,200,pubnub,Critical,Messaging,PubNub,PubNub interface.,Secure PubNub.,false
