# HyperSecurity_offensivelabs - MOBILE & BACKEND SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
MOB-0001,/mobile,GET,200,mobile,Critical,Mobile,Mobile API,Mobile API endpoint.,Secure mobile API.,false
MOB-0002,/mobile/api,GET,200,api,Critical,Mobile,Mobile API Root,Mobile API root.,Secure mobile API root.,false
MOB-0003,/mobile/v1,GET,200,v1,Critical,Mobile,Mobile API V1,Mobile API v1.,Secure mobile v1.,false
MOB-0004,/mobile/v2,GET,200,v2,Critical,Mobile,Mobile API V2,Mobile API v2.,Secure mobile v2.,false
MOB-0005,/mobile/auth,POST,200,token,Critical,Mobile,Mobile Auth,Mobile authentication.,Secure mobile auth.,false
MOB-0006,/mobile/login,POST,200,token,Critical,Mobile,Mobile Login,Mobile login.,Secure mobile login.,false
MOB-0007,/mobile/register,POST,200,user,Critical,Mobile,Mobile Register,Mobile registration.,Secure mobile register.,false
MOB-0008,/mobile/logout,POST,200,status,Critical,Mobile,Mobile Logout,Mobile logout.,Secure mobile logout.,false
MOB-0009,/mobile/refresh,POST,200,token,Critical,Mobile,Mobile Refresh,Mobile token refresh.,Secure mobile refresh.,false
MOB-0010,/mobile/user,GET,200,user,Critical,Mobile,Mobile User,Mobile user endpoint.,Secure mobile user.,false
MOB-0011,/mobile/users,GET,200,users,Critical,Mobile,Mobile Users,Mobile users endpoint.,Secure mobile users.,false
MOB-0012,/mobile/profile,GET,200,profile,Critical,Mobile,Mobile Profile,Mobile profile.,Secure mobile profile.,false
MOB-0013,/mobile/account,GET,200,account,Critical,Mobile,Mobile Account,Mobile account.,Secure mobile account.,false
MOB-0014,/mobile/settings,GET,200,settings,Critical,Mobile,Mobile Settings,Mobile settings.,Secure mobile settings.,false
MOB-0015,/mobile/preferences,GET,200,preferences,Critical,Mobile,Mobile Preferences,Mobile preferences.,Secure mobile preferences.,false
MOB-0016,/mobile/notifications,GET,200,notifications,Critical,Mobile,Mobile Notifications,Mobile notifications.,Secure mobile notifications.,false
MOB-0017,/mobile/push,POST,200,status,Critical,Mobile,Mobile Push,Mobile push notifications.,Secure mobile push.,false
MOB-0018,/mobile/fcm,POST,200,fcm,Critical,Mobile,Mobile FCM,Firebase Cloud Messaging.,Secure FCM.,false
MOB-0019,/mobile/apns,POST,200,apns,Critical,Mobile,Mobile APNS,Apple Push Notification.,Secure APNS.,false
MOB-0020,/mobile/gcm,POST,200,gcm,Critical,Mobile,Mobile GCM,Google Cloud Messaging.,Secure GCM.,false
MOB-0021,/mobile/device,POST,200,device,Critical,Mobile,Mobile Device,Mobile device registration.,Secure device reg.,false
MOB-0022,/mobile/devices,GET,200,devices,Critical,Mobile,Mobile Devices,Mobile devices list.,Secure devices list.,false
MOB-0023,/mobile/token,POST,200,token,Critical,Mobile,Mobile Token,Mobile device token.,Secure device token.,false
MOB-0024,/mobile/sync,POST,200,sync,Critical,Mobile,Mobile Sync,Mobile data sync.,Secure mobile sync.,false
MOB-0025,/mobile/backup,POST,200,backup,Critical,Mobile,Mobile Backup,Mobile backup.,Secure mobile backup.,false
MOB-0026,/mobile/restore,POST,200,restore,Critical,Mobile,Mobile Restore,Mobile restore.,Secure mobile restore.,false
MOB-0027,/mobile/upload,POST,200,upload,Critical,Mobile,Mobile Upload,Mobile file upload.,Secure mobile upload.,false
MOB-0028,/mobile/download,GET,200,download,Critical,Mobile,Mobile Download,Mobile file download.,Secure mobile download.,true
MOB-0029,/mobile/content,GET,200,content,Critical,Mobile,Mobile Content,Mobile content.,Secure mobile content.,false
MOB-0030,/mobile/media,GET,200,media,Critical,Mobile,Mobile Media,Mobile media.,Secure mobile media.,false
MOB-0031,/mobile/stream,GET,200,stream,Critical,Mobile,Mobile Stream,Mobile streaming.,Secure mobile stream.,false
MOB-0032,/mobile/chat,POST,200,message,Critical,Mobile,Mobile Chat,Mobile chat.,Secure mobile chat.,false
MOB-0033,/mobile/messages,GET,200,messages,Critical,Mobile,Mobile Messages,Mobile messages.,Secure mobile messages.,false
MOB-0034,/mobile/inbox,GET,200,inbox,Critical,Mobile,Mobile Inbox,Mobile inbox.,Secure mobile inbox.,false
MOB-0035,/mobile/friends,GET,200,friends,Critical,Mobile,Mobile Friends,Mobile friends.,Secure mobile friends.,false
MOB-0036,/mobile/contacts,GET,200,contacts,Critical,Mobile,Mobile Contacts,Mobile contacts.,Secure mobile contacts.,false
MOB-0037,/mobile/groups,GET,200,groups,Critical,Mobile,Mobile Groups,Mobile groups.,Secure mobile groups.,false
MOB-0038,/mobile/feed,GET,200,feed,Critical,Mobile,Mobile Feed,Mobile feed.,Secure mobile feed.,false
MOB-0039,/mobile/timeline,GET,200,timeline,Critical,Mobile,Mobile Timeline,Mobile timeline.,Secure mobile timeline.,false
