# HyperSecurity_offensivelabs - MODERN WEB & SPA SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
WEB-0001,/app,GET,200,app,Critical,ModernWeb,App Root,SPA application root.,Secure app access.,false
WEB-0002,/app/index.html,GET,200,html,Critical,ModernWeb,App Index,SPA index file.,Secure static files.,false
WEB-0003,/app/static,GET,200,static,Critical,ModernWeb,App Static,Static assets directory.,Secure static.,false
WEB-0004,/app/assets,GET,200,assets,Critical,ModernWeb,App Assets,Assets directory.,Secure assets.,false
WEB-0005,/app/js,GET,200,js,Critical,ModernWeb,App JS,JavaScript directory.,Secure JS files.,false
WEB-0006,/app/css,GET,200,css,Critical,ModernWeb,App CSS,CSS directory.,Secure CSS.,false
WEB-0007,/app/img,GET,200,img,Low,ModernWeb,App Images,Images directory.,Low risk.,false
WEB-0008,/app/images,GET,200,images,Low,ModernWeb,App Images Alt,Images alt.,Low risk.,false
WEB-0009,/app/fonts,GET,200,fonts,Low,ModernWeb,App Fonts,Fonts directory.,Low risk.,false
WEB-0010,/app/locales,GET,200,locales,Medium,ModernWeb,App Locales,Localization files.,Secure locales.,false
WEB-0011,/app/i18n,GET,200,i18n,Medium,ModernWeb,App i18n,Internationalization.,Secure i18n.,false
WEB-0012,/app/translations,GET,200,translations,Medium,ModernWeb,App Translations,Translation files.,Secure translations.,false
WEB-0013,/app/config.json,GET,200,config,Critical,ModernWeb,App Config JSON,App configuration JSON.,Remove from production.,true
WEB-0014,/app/config.js,GET,200,config,Critical,ModernWeb,App Config JS,App configuration JS.,Remove config.,true
WEB-0015,/app/settings.json,GET,200,settings,Critical,ModernWeb,App Settings,App settings JSON.,Secure settings.,true
