# HyperSecurity_offensivelabs - SERVERLESS & FUNCTIONS SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
SLS-0001,/.aws/lambda,GET,200,lambda,Critical,Serverless,AWS Lambda,AWS Lambda function.,Secure Lambda.,false
SLS-0002,/lambda,POST,200,result,Critical,Serverless,Lambda Invoke,Lambda invoke endpoint.,Secure invoke.,false
SLS-0003,/2015-03-31/functions,GET,200,Functions,Critical,Serverless,Lambda Functions,List Lambda functions.,Secure functions list.,false
SLS-0004,/2015-03-31/functions/function-name,GET,200,FunctionName,Critical,Serverless,Lambda Function,Lambda function details.,Secure function details.,false
SLS-0005,/2015-03-31/functions/function-name/invocations,POST,200,Payload,Critical,Serverless,Lambda Invoke API,Lambda invoke API.,Secure invoke API.,false
SLS-0006,/functions,GET,200,functions,Critical,Serverless,Functions Alt,Functions alt endpoint.,Secure functions.,false
SLS-0007,/functions/list,GET,200,functions,Critical,Serverless,Functions List,Functions list alt.,Secure functions list.,false
SLS-0008,/invoke,POST,200,result,Critical,Serverless,Invoke Alt,Invoke alt endpoint.,Secure invoke.,false
SLS-0009,/async-invoke,POST,202,StatusCode,Critical,Serverless,Async Invoke,Async invoke endpoint.,Secure async invoke.,false
SLS-0010,/2015-03-31/functions/function-name/versions,GET,200,Versions,Critical,Serverless,Lambda Versions,Lambda versions.,Secure versions.,false
SLS-0011,/2015-03-31/functions/function-name/aliases,GET,200,Aliases,Critical,Serverless,Lambda Aliases,Lambda aliases.,Secure aliases.,false
SLS-0012,/2015-03-31/functions/function-name/policy,GET,200,Policy,Critical,Serverless,Lambda Policy,Lambda resource policy.,Secure policy.,false
SLS-0013,/2015-03-31/functions/function-name/concurrency,GET,200,ReservedConcurrentExecutions,Critical,Serverless,Lambda Concurrency,Lambda concurrency.,Secure concurrency.,false
SLS-0014,/2015-03-31/functions/function-name/provisioned-concurrency,GET,200,AllocatedProvisionedConcurrentExecutions,Critical,Serverless,Lambda Provisioned,Lambda provisioned concurrency.,Secure provisioned.,false
SLS-0015,/2015-03-31/functions/function-name/tags,GET,200,Tags,Critical,Serverless,Lambda Tags,Lambda tags.,Secure tags.,false
SLS-0016,/2015-03-31/functions/function-name/url,GET,200,FunctionUrl,Critical,Serverless,Lambda URL,Lambda function URL.,Secure function URL.,false
SLS-0017,/2015-03-31/tags,GET,200,Tags,Critical,Serverless,Lambda List Tags,List Lambda tags.,Secure list tags.,false
SLS-0018,/2015-03-31/event-source-mappings,GET,200,EventSourceMappings,Critical,Serverless,Lambda Event Sources,Lambda event sources.,Secure event sources.,false
SLS-0019,/2015-03-31/layers,GET,200,Layers,Critical,Serverless,Lambda Layers,Lambda layers.,Secure layers.,false
