# HyperSecurity_offensivelabs - WEB3 & BLOCKCHAIN SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
WEB3-0001,/rpc,POST,200,jsonrpc,Critical,Web3,JSON-RPC,JSON-RPC endpoint.,Secure RPC access.,false
WEB3-0002,/eth,POST,200,jsonrpc,Critical,Web3,ETH RPC,Ethereum RPC endpoint.,Secure ETH RPC.,false
WEB3-0003,/ethereum,POST,200,jsonrpc,Critical,Web3,Ethereum Alt,Ethereum RPC alt.,Secure Ethereum.,false
WEB3-0004,/api/eth,POST,200,jsonrpc,Critical,Web3,API ETH,API ETH endpoint.,Secure API ETH.,false
WEB3-0005,/v1/eth,POST,200,jsonrpc,Critical,Web3,ETH V1,ETH v1 endpoint.,Secure ETH v1.,false
WEB3-0006,/web3,POST,200,web3,Critical,Web3,Web3 Provider,Web3 provider.,Secure Web3.,false
WEB3-0007,/web3/provider,POST,200,provider,Critical,Web3,Web3 Provider Alt,Web3 provider alt.,Secure provider.,false
WEB3-0008,/jsonrpc,POST,200,jsonrpc,Critical,Web3,JSON-RPC Alt,JSON-RPC alt endpoint.,Secure JSON-RPC.,false
WEB3-0009,/graphql,POST,200,data,Critical,Web3,GraphQL,GraphQL endpoint.,Secure GraphQL.,false
WEB3-0010,/thegraph,POST,200,data,Critical,Web3,The Graph,The Graph endpoint.,Secure The Graph.,false
WEB3-0011,/subgraphs,POST,200,subgraph,Critical,Web3,Subgraphs,Subgraphs endpoint.,Secure subgraphs.,false
WEB3-0012,/subgraph,POST,200,subgraph,Critical,Web3,Subgraph,Subgraph endpoint.,Secure subgraph.,false
WEB3-0013,/ipfs,GET,200,ipfs,Critical,Web3,IPFS,IPFS gateway.,Secure IPFS.,false
WEB3-0014,/ipfs/api,POST,200,api,Critical,Web3,IPFS API,IPFS API endpoint.,Secure IPFS API.,false
WEB3-0015,/api/v0,POST,200,api,Critical,Web3,IPFS V0,IPFS v0 API.,Secure IPFS v0.,false
WEB3-0016,/api/v0/add,POST,200,Hash,Critical,Web3,IPFS Add,IPFS add endpoint.,Secure IPFS add.,false
WEB3-0017,/api/v0/cat,POST,200,data,Critical,Web3,IPFS Cat,IPFS cat endpoint.,Secure IPFS cat.,false
WEB3-0018,/api/v0/ls,POST,200,Links,Critical,Web3,IPFS LS,IPFS ls endpoint.,Secure IPFS ls.,false
WEB3-0019,/api/v0/pin,POST,200, Pins,Critical,Web3,IPFS Pin,IPFS pin endpoint.,Secure IPFS pin.,false
WEB3-0020,/api/v0/config,POST,200,Key,Critical,Web3,IPFS Config,IPFS config endpoint.,Secure IPFS config.,false
WEB3-0021,/api/v0/swarm,POST,200,Strings,Critical,Web3,IPFS Swarm,IPFS swarm endpoint.,Secure IPFS swarm.,false
WEB3-0022,/api/v0/dag,POST,200,Cid,Critical,Web3,IPFS DAG,IPFS DAG endpoint.,Secure IPFS DAG.,false
WEB3-0023,/api/v0/files,POST,200,Entries,Critical,Web3,IPFS Files,IPFS files endpoint.,Secure IPFS files.,false
